num_ordre;plan_id;budget;typcredit;immobilisation;credit;centre_cout;projet;localisation;montant_estime;composante;montant_dispo;designation;type;mode;nbr_lot;agent_id;date_tech;date_tech_reel;date_dgcmef;date_dgcmef_reel;date_off;date_off_reel;temp;temp_reel;date_resultat;resultat;date_visite_site;date_demarrage;date_reel_demarrage;delai_exe;delai_reel_exe;date_butoir;date_reel_fin;budget_travaux;observation;statut
68;3;Fonds Propres Investissement;;;;;;DP/DPTCE;6 315 000;Nettoyeur à haute pression ;6 315 000;Nettoyeur à haute pression (Karcher) à eau chaude;2;DCF;1;1;;;45111;;14/04/2023;;1;;;;;22/05/2023;;90;;20/08/2023;;;;PPM
69;3;Fonds Propres Investissement;;;;;;DMP/DAGP;25 000 000;Logiciels;25 000 000;Extension de la solution de géolocalisation;2;ED;1;1;;;45111;;22/04/2023;;1;;;;;45083;;90;;45025;;;;PPM
8;1;Financement externe;Fin. Ext.;;Fin. Ext.;45000;.PDCEL;DRCO;2 814 730 000;;2 814 730 000;Matériels  de branchements à Boromo, Dédougou, Koudougou, Léo, Nouna, Réo et Sapouy;;AOO;7;1;10/02/2022;10/02/2022;22/11/2021;;06/01/2022;;3;;;;;27/05/2022;;180;;23/11/2022;;;;PPM
6;1;Financement externe;Fin. Ext.;;Fin. Ext.;12000;PDCEL.;DNEQ;322 000 000;;322 000 000;Mise en ¿uvre et le suivi du PGES;;ED;3;1;10/02/2022;10/02/2022;28/12/2021;;19/06/2022;;1;;;;;10/07/2022;;540;;01/01/2024;;;;PPM
38;;;;;;;;;74 980 000;;74 980 000;fourniture de transformateurs de distribution HTA/BT au profit de la Direction Régionale du Centre Est (DRCE) de la SONABEL.;;;1;1;;;;;;;;;;;;;;120;;;;;;Hors PPM
38;1;;;;;;;DPTCE;74 980 000;;74 980 000;fourniture de transformateurs de distribution HTA/BT au profit de la Direction Régionale du Centre Est (DRCE) de la SONABEL.;;;1;1;;;;12/07/2022;;21/07/2022;;;;;;;;120;;;;;;Hors PPM
11;1;Financement externe;Fin. Ext.;Fin. Ext.;Fin. Ext.;;PEDECEL;DG;76 841 160;écran, PC, traçeur, routeur et imprimantes;79 841 160;Fourniture de matériels informatiques au profit du Projet d’Electrification et de Développement des Connexions à l’Electricité (PEDECEL);2;AOO;4;1;10/02/2022;;26/12/2021;;05/01/2022;;3;;;;01/02/2023;09/02/2022;;90;;10/04/2022;;;;PPM
70;1;Fonds Propres Investissement;B;;B;;Mise en place d'un réseau très haut débit à fibres optiques au profit de la SONABEL/DIFO;;1 947 000 000;;1 947 000 000;Mise en place d'un réseau très haut débit à fibres optiques au profit de la SONABEL/DIFO;1;AOO;1;1;09/09/2021;;05/01/2022;16/02/2022;01/04/2022;;7;;;;0202-04-12;01/06/2022;;90;;01/09/2022;;;RAS;PPM
71;1;Fonds Propres Investissement;B;241900;B;;Équipement de test portable et de diagnostic;DCET;121 500 000;;121 500 000;Équipement de test portable et de diagnostic;2;AOO;4;1;01/06/2022;;07/06/2022;22/08/2022;15/07/2022;;4;;;;;;;90;;;;;RAS;PPM
21;3;Fonds Propres Investissement;B;;B;;;DPTCE;513 000 000;;513 000 000;la fourniture, et le raccordement de cuves de stockage de combustible sur les sites de la SONABEL à Tougan, Dédougou, Nouna, Dori, Gorom-Gorom, Diapaga, Kompienga et travaux de raccordement de cuves existantes à Nouna, Toéni, Djibo et Kompienga;1;AOO;3;1;;;21/03/2023;07/04/2023;20/04/2023;;3;;;;;19/07/2023;;90;;;;;;PPM
2;3;Fonds Propres Investissement;;;;;;DTME / DCET;54 000 000;Matériel Radio Communication;54 000 000;Acquisition d'outils de supervision du réseau  fibre optique OPGW et OPPC U2020 NMS;2;DPX;1;1;;;23/02/2023;;45202;;1;;;;;24/05/2023;;120;;21/09/2023;;;;PPM
1;3;Fonds Propres Investissement;;;;;;DD / DDC;30 800 000;Matériel Laboratoire Electrique;30 800 000;Acquisition de chariot de câbles, de rangement des outils TST-HTA et pour poste préfabriqué;2;DPX;3;1;;;24/02/2023;02/09/2023;45233;;1;;;;;25/05/2023;;90;;23/08/2023;;;;PPM
5;3;Fonds Propres Investissement;;;;;;DSI / DSRS;89 123 000;Système d'alimentation sans interruption;89 123 000;Acquisitions d'onduleurs ;2;AO;3;1;;;28/02/2023;;30/03/2023;12/04/2023;3;;;;;28/06/2023;;120;;26/10/2023;;;;PPM
3;3;Fonds Propres Investissement;;;;;;DSI / DIFO;125 000 000;Matériel de télécommunications;125 000 000;Alimentation en énergie  des sites de Yako et Gourcy, et par descente des câbles 34.5 kV des sites de Villy Bongo, Koumbia et Paga;1;AO;2;1;;;20/02/2023;;22/03/2023;;3;;;;;20/06/2023;;120;;18/10/2023;;;;PPM
4;3;Fonds Propres Investissement;;;;;;DSI / DIFO;650 000 000;Matériel de télécommunications;650 000 000;Fourniture, Installation et Mise en service d'un  système de transmission Haut débit par fibres optiques ADSS entre le CNC, la ZAD et le SIEGE de la SONABEL;1;AO;3;1;;;27/02/2023;;29/03/2023;;3;;;;;27/06/2023;;150;;24/11/2023;;;;PPM
6;3;Fonds Propres Investissement;;;;;;DTME/DCET;135 689 000;Matériel et outillage;135 689 000;Acquisition  et installation de batteries et Chargeur batterie;2;AO;3;1;;;28/02/2023;;30/03/2023;;3;;;;;28/06/2023;;120;;26/10/2023;;;;PPM
7;3;Fonds Propres Investissement;;;;;;DTME/DCET;100 000 000;Matériel Radio Communication;100 000 000;Télé relève des compteurs des postes sources (infrastructure informatique+ outil de pilote management);2;AO;1;1;;;44929;;31/03/2023;;3;;;;;29/06/2023;;120;;27/10/2023;;;;PPM
11;3;Fonds Propres Investissement;;;;;;DD / DDC;382 100 000;Matériel Radio Communication;382 100 000;Restructuration des départs HTA souterrain de PEPU;1;AO;1;1;;;14/02/2023;;16/03/2023;;3;;;;;14/06/2023;;180;;45242;;;;PPM
8;3;Fonds Propres Investissement;;;;;;DTME/DCET;420 000 000;Matériel Radio Communication;420 000 000;Déploiement de fibre optique pour la fiabilisation de la transmission des téléfaxions des protection de la boucle 33 kV du CRCO ;1;AO;1;1;;;15/02/2023;;17/03/2023;;3;;;;;15/06/2023;;150;;45271;;;;PPM
10;3;Fonds Propres Investissement;;;;;;DSI / DSRS;51 000 000;Renforcements et protection du réseaux BLR;51 000 000;Acquisition de paratonnerres avec PDA type Hélita de 30  et Paratonnerre/SRI;2;DPX;2;1;;;44988;29/03/2023;18/03/2023;;1;;;;;44932;;120;;29/09/2023;;;;PPM
12;3;Fonds Propres Investissement;;;;;;DTME/DCET;120 000 000;Relais de protection;120 000 000;Acquisition et installation de Relais de protection;2;AO;2;1;;;45263;;45234;;3;;;;;45206;;150;;45119;;;;PPM
9;3;Fonds Propres Investissement;;;;;;DSI / DSRS;10 000 000;Renforcements et protection du réseaux BLR;10 000 000;Installation de systèmes hybrides 220VAC et DC secours par batteries 2x100Ah ayant une autonomie de 15 heures sur P.V. leur mise en réseau pour la supervision à distance pour (Ouaga 2, Kodeni, Toma, Banfora, Poura);2;DPX;1;1;;;44929;09/06/2023;16/03/2023;;1;;;;;30/05/2023;;90;;28/08/2023;;;;PPM
13;3;Fonds Propres Investissement;;;;;;DTME/DCET;431 000 000;Matériel Radio Communication;431 000 000;RTU en GTW pour résoudre les problèmes d'indisponibilité des PC Opérateur ;2;AO;3;1;;;45263;;45234;;3;;;;;45206;;120;;45118;;;;PPM
14;3;Fonds Propres Investissement;;;;;;DTME/DCET;160 300 000;Téléphones satellites et Radios portatives;160 300 000;Acquisition téléphones satellites et Radios portatives Motorola;2;AO;2;1;;;45110;25/04/2023;45081;;3;;;;;45053;;120;;44968;;;;PPM
15;3;Fonds Propres Investissement;;;;;;DEPI/DGC;15 000 000;Autres bâtiments administratifs et commerciaux;15 000 000;Fourniture et pose d'un bureau préfabriqué sur la dalle ;2;DPX;1;1;;;45110;;22/03/2023;;1;;;;;45052;;90;;44994;;;;PPM
16;3;Fonds Propres Investissement;;;;1;;DP / DPTO;105 000 000;Matériel de Protection et de Sécurité;105 000 000;Construction de circuits d'arrosage des cuves de stockage combustibles 2000 et 3000 m3;1;AO;1;1;;;24/07/2023;23/06/2023;25/03/2023;;3;;;;;25/09/2023;;30;;45087;;;;Projet
17;3;Fonds Propres Investissement;;;;;;DEPI/DGC;250 000 000;Autres bâtiments administratifs et commerciaux;250 000 000;Construction d'un bâtiment pour le PEDECEL;1;AO;1;1;;;17/03/2023;;16/04/2023;;3;;;;;15/07/2023;;720;;45754;;;;PPM
18;3;Fonds Propres Investissement;;;;;;DEPI/DGC;221 630 000;Travaux divers de génie civil ;221 630 000;Travaux divers d'aménagement de génie civil ;1;AO;5;1;;;21/03/2023;;20/04/2023;;3;;;;;19/07/2023;;120;;16/11/2023;;;;PPM
27;1;Fonds Propres Investissement;A;234220;A;10000;;PDCEL;474 563 000;Extension des réseaux HTA/BTA / PDCEL;474 563 000;Travaux d'extensions de réseau PDCEL dans 5 localités;;AOO;5;1;10/02/2022;(null);21/02/2022;17/08/2022;23/03/2022;;3;;;;;07/03/2022;;180;;03/11/2022;;;;PPM
29;1;Fonds Propres Investissement;A;234220;A;60000;;DD;243 000 000;Transformateurs BT et HT / DGA;243 000 000;Equipement telecommandé à installer sur le départ Ziniaré;;AOO;;1;10/02/2022;22/03/2022;21/02/2022;08/09/2022;23/03/2022;11/10/2022;3;;;;;07/03/2022;;180;;03/11/2022;;;;PPM
31;1;Fonds Propres Investissement;B;241100;B;53200;;DP;1 271 700 000;Groupes électrogènes;1 271 700 000;Acquisition de groupes secours pour diverses unités;;AOO;5;1;10/02/2022;24/03/2022;21/02/2022;;07/04/2022;;3;;;;;22/05/2022;;210;;18/12/2022;;;;PPM
89;1;Fonds Propres Investissement;G;245800;G;80000;;,DMP;42 030 000;Chariot élevateur;42 030 000;Acquisition de chariot pour divers travaux;;DPX;3;1;10/02/2022;10/05/2022;25/02/2022;02/09/2022;07/03/2022;14/09/2022;1;;;;;21/04/2022;;180;;18/10/2022;;;;PPM
35;1;Fonds Propres Investissement;B;241110;B;53200;;SPTB;225 000 000;Centrifugeuse ou Séparateur / DPTCE;225 000 000;Aquisition de 2 transformateurs 33/15 kV-15 MVA en remplacement des 10 MVA existant surchargés à BOBO 2;;AOO;;1;10/02/2022;17/03/2022;21/02/2022;28/04/2022;23/03/2022;30/05/2022;3;;;;;07/03/2022;;180;;03/11/2022;;;;PPM
37;1;Fonds Propres Investissement;B;241120;B;51000;;DPH;18 000 000;Auxiliaires Généraux de Centrales;18 000 000;Capteur de position de la vanne de prise d'eau de la centrale;;DPX;;1;10/02/2022;10/03/2022;18/02/2022;10/08/2022;28/02/2022;21/08/2022;1;;;;;14/04/2022;;120;;12/08/2022;;;;PPM
41;1;Fonds Propres Investissement;B;241130;B;60000;;DD / DETD;6 750 000;Armoires et Tableaux de Commande;6 750 000;Boite d'injection de courant, Presse hydraulique de sertissage et coffret de préparation de câble;;DC / F;;1;10/02/2022;23/06/2022;18/02/2022;;21/02/2022;08/08/2022;1;;;;;07/04/2022;;120;;44689;;;;PPM
43;1;Fonds Propres Investissement;B;241130;B;53000;;DTME / DCET;99 000 000;Cellule 33KV, 90KV / DPTCE;99 000 000;Acquisition de cellules 33 kV;;AOO;3;1;10/02/2022;16/03/2022;21/02/2022;20/06/2022;23/03/2022;19/07/2022;3;;;;;07/03/2022;;180;;03/11/2022;;;;PPM
46;1;Fonds Propres Investissement;B;241220;B;51000;;DP / DPH;6 297 000;Matériel, Outillage Spécifique de Centrales / DPH;6 297 000;Outillages pour les centrales de Bagré, Tourni, Niofila, Samandeni et Zagtouly;;DC / F;;1;10/02/2022;18/03/2022;01/03/2022;01/04/2022;04/03/2022;29/04/2022;1;;;;;03/04/2022;;180;;30/09/2022;;;;PPM
49;1;Fonds Propres Investissement;B;241320;B;11000;;PEPU;40 460 000;Outillage de Branchements / PEPU;40 460 000;Fourniture et installation de DDA et DDS;;DPX;;1;10/02/2022;(null);21/02/2022;;03/03/2022;;1;;;;;17/04/2022;;180;;14/10/2022;;;;PPM
52;1;Fonds Propres Investissement;B;241500;B;52300;;DP / DPTO;24 300 000;Matériel de Protection et de Sécurité;24 300 000;Résistance de mise  à la terre du neutre 33 Kv et Construction de circuits d'arrosage des cuves;;DPX ;2;1;10/02/2022;01/07/2022;21/02/2022;06/12/2022;03/03/2022;16/12/2022;1;;;;;17/04/2022;;180;;14/10/2022;;;;PPM
56;1;Fonds Propres Investissement;B;241500;B;12000;;;272 700 000;Matériel de Protection et de Sécurité;272 700 000;Outillage divers de Securité pour l'ensemble des unités;;AOO;1;1;10/02/2022;04/03/2022;24/02/2022;28/07/2022;26/03/2022;26/08/2023;3;;;;;10/05/2022;;180;;06/11/2022;;;;PPM
10;1;Fonds Propres Investissement;J;231380;J;64000;;DGC;7 062 000;Travaux de génie civil / DRO;7 062 000;Rehaussement de la clôture du district;;DC / F;;1;10/02/2022;13/05/2022;01/03/2022;06/06/2022;04/03/2022;16/06/2022;1;;;;;03/04/2022;;30;;03/05/2022;;;;PPM
15;1;Fonds Propres Investissement;A;234220;A;60000;;DD;36 000 000;#REF!;36 000 000;Acquisition d'une cellule primaire 36 kV pour le poste de Komsilga;;DPX;;1;10/02/2022;25/03/2022;14/02/2022;02/09/2022;24/02/2022;12/09/2022;3;;;;;10/04/2022;;180;;07/11/2022;;;;PPM
11;1;Fonds Propres Investissement;J;233800;J;23000;;DGC;59 218 000;Travaux de Forage / DGC;59 218 000;Réalisation et Réhabilitation de sept (07) Forages d'eau  ;;DPX;4;1;10/02/2022;16/05/2022;14/02/2022;22/07/2022;24/02/2022;23/08/2022;3;;;;;10/04/2022;;90;;44811;;;;PPM
17;1;Fonds Propres Investissement;A;234220;A;60000;;DEPI;2 250 000 000;Réseau électrique BT et HT financement SONABEL;2 250 000 000;Electrification de localités et extension de réseau de distribution;;AOOI ;6;1;10/02/2022;28/06/2022;15/03/2022;01/09/2022;29/04/2022;17/10/2022;3;;;;;13/06/2022;;180;;44846;;;;PPM
18;1;Fonds Propres Investissement;A;234220;A;22000;;DEPI;415 800 000;Restructuration du réseau HTA/BTA;415 800 000;Passage en 33 kV de la zone industrielle de Koudougou et de réseaux HTA à Fada;;AOO;2;1;10/02/2022;09/02/2022;14/02/2022;24/03/2022;16/03/2022;22/04/2022;3;;;;;30/04/2022;;180;;27/10/2022;;;;PPM
1;1;Fonds Propres Exploitation;Budget. Exp.;604110;Budget. Exp.;82000;;DGA / DMP;1 030 473 565;;1 030 473 565;Achats de transformateurs et poste pré-fabriqué;;AOOI ;2;1;10/02/2022;10/03/2022;07/02/2022;22/04/2022;24/03/2022;23/05/2022;;;;;;;;;;;;;;PPM
4;1;Fonds Propres Exploitation;Budget. Exp.;604110;Budget. Exp.;82000;;DGA / DMP;1 438 955 000;;1 438 955 000;Achats de câbles BT;;AOOI ;5;1;10/02/2022;17/03/2022;20/02/2022;10/05/2022;06/04/2022;09/06/2022;;;;;;;;;;;;;;PPM
3;1;Fonds Propres Exploitation;Budget. Exp.;604110;Budget. Exp.;82000;;DGA / DMP;1 029 785 000;;1 029 785 000;Achat de disjoncteurs de branchement;;AOOI ;2;1;10/02/2022;10/03/2022;07/02/2022;28/04/2022;24/03/2022;30/05/2022;;;;;;;;;;;;;;PPM
5;1;Fonds Propres Exploitation;Budget. Exp.;604110;Budget. Exp.;82000;;DGA / DMP;1 159 229 380;;1 159 229 380;Achats de câbles HTA, Extrémités et jonctions;;AOOI ;4;1;10/02/2022;30/04/2022;20/02/2022;22/06/2022;06/04/2022;08/08/2022;;;;;;;;;;;;;;PPM
7;1;Fonds Propres Exploitation;Budget. Exp.;604150;Budget. Exp.;81000;;DAGP / DMP;80 000 000;;80 000 000;Achats pièces de rechange auto;;AOO;;1;10/02/2022;28/01/2022;14/02/2022;05/04/2022;16/03/2022;06/05/2022;;;;;;;;;;;;;;PPM
17;1;Fonds Propres Exploitation;Budget. Exp.;604440;Budget. Exp.;53000;;DPTCE / DP;1 405 000 000;;1 405 000 000;Acquérir les pièces pour réaliser l¿entretien 36000 H du groupes n°8 ;;AOO;;1;10/02/2022;13/01/2022;16/02/2022;05/02/2022;02/04/2022;05/05/2022;;;;;;;;;;;;;;PPM
21;1;Fonds Propres Exploitation;Budget. Exp.;604440;Budget. Exp.;53000;;DPTCE / DP;61 000 000;;61 000 000;Révision moteur MTU GAOUA;;DPX;;1;10/02/2022;19/01/2022;19/02/2022;11/02/2022;01/03/2022;21/02/2022;;;;;;;;;;;;;;PPM
8;1;Fonds Propres Exploitation;Budget. Exp.;604230;Budget. Exp.;81000;;DP;1 514 318 502;;1 514 318 502;Achats Lubrifiants / centrales;;ED;;1;10/02/2022;(null);14/02/2022;;24/02/2022;;;;;;;;;;;;;;;PPM
9;1;Fonds Propres Exploitation;Budget. Exp.;604440;Budget. Exp.;52310;;DPTO / DP;3 711 000 000;;3 711 000 000;Pièces de rechange et travaux d'entretien des groupes G2 à G7 de la centrale de Komsilga;;AOOI ;3;1;10/02/2022;19/04/2022;17/02/2022;26/08/2022;03/04/2022;11/10/2022;;;;;;;;;;;;;;PPM
92;1;Fonds Propres Investissement;E; FEP ;E;32000;;DD;1 066 754 000;Eclairage public / DTME;1 066 754 000;Construction de réseaux d'éclairage publics dans diverses Directions Régionales;;AOO;9;1;10/02/2022;28/03/2022;23/03/2022;28/07/2022;22/04/2022;09/09/2022;3;;;;;22/05/2022;;60;;21/07/2022;;;;PPM
33;1;Fonds Propres Investissement;B;241110;B;51000;;DPH;3 150 000;Electropompe;3 150 000;Electropompe mobile pour vidanges diverses;;DC / F;;1;10/02/2022;21/03/2022;01/03/2022;22/07/2022;04/03/2022;08/08/2022;1;;;;;03/04/2022;;30;;03/05/2022;;;;PPM
36;1;Fonds Propres Investissement;B;241110;B;52000;;DPTO;357 750 000;Centrifugeuse ou Séparateur / DPTO;357 750 000;Acquisition de centrifugeuses, d'electropompes et tour de réfrigération;;AOO;3;1;10/02/2022;29/04/2022;21/02/2022;02/09/2022;23/03/2022;30/09/2022;3;;;;;07/03/2022;;180;;03/11/2022;;;;PPM
40;1;Fonds Propres Investissement;B;241120;B;H0000;;DTME / DCET;202 500 000;Batterie + Chargeur DIFO;202 500 000;Chargeurs 48 Vcc + batteries pour le DIFO;;AOO;1;1;10/02/2022;14/02/2022;21/02/2022;22/08/2022;23/03/2022;20/09/2022;3;;;;;07/03/2022;;180;;03/11/2022;;;;PPM
77;1;Fonds Propres Investissement;F;244180;F;46000;;DMP / DAGP;5 940 000;Coffre-fort blindé / DRO;5 940 000;Coffre-fort blindé pour DGP, DRO et DM;;DC / F;;1;10/02/2022;08/04/2022;17/03/2022;10/05/2022;20/03/2022;18/05/2022;1;;;;;19/04/2022;;60;;18/06/2022;;;;PPM
47;1;Fonds Propres Investissement;B;241300;B;51000;;DP / DPH;21 150 000;Matériel de Métrologie;21 150 000;Réhabilitation des echelles limnimétriques;;DPX;;1;10/02/2022;10/03/2022;21/02/2022;23/01/2023;03/03/2022;11/04/2022;1;;;;;17/04/2022;;120;;15/08/2022;;;;PPM
50;1;Fonds Propres Investissement;B;241500;B;51400;;DSI / DSRS;2 700 000;Paratonnerre / Parafoudre;2 700 000;Interconnexion Telecom de la centrale solaire de Ziga au réseau informatique de Ouaga par Ziniaré;;DC / F;;1;10/02/2022;26/02/2022;14/03/2022;28/06/2022;17/03/2022;29/07/2022;1;;;;;16/04/2022;;120;;14/08/2022;;;;PPM
68;1;Fonds Propres Investissement;B;241700;B;31000;;DSI / DSRS;19 800 000;Matériel Radio Communication;19 800 000;Remplacement du système d'interphone et son autocom de la centrale de Bagré;;DPX;;1;10/02/2022;07/03/2022;22/02/2022;11/04/2022;04/03/2022;20/04/2022;1;;;;;18/04/2022;;180;;15/10/2022;;;;PPM
67;1;Fonds Propres Investissement;B;241630;B;31000;;DSI / DSRS;91 861 000;Matériel Pédagogique - Administratif  & Comptable;91 861 000;Liaison BLR/SRI, Pylônes haubanés et interconnexion telecom de sites;Fourniture;AOO;3;1;10/02/2022;26/02/2022;25/02/2022;28/06/2022;27/03/2022;29/07/2022;3;;;;;11/05/2022;;180;;07/11/2022;;;;PPM
57;1;Fonds Propres Investissement;B;241500;B;H0000;;DSI / DSRS;64 125 000;Matériel de Protection et de Sécurité;64 125 000;Acquisition Firewall FORTINET FG-100F-BDL-950-12 pour securisation de la liaison internet du SCADA;;AOO;2;1;10/02/2022;12/05/2022;24/02/2022;23/08/2022;26/03/2022;02/09/2022;3;;;;;10/05/2022;;180;;06/11/2022;;;;PPM
8;1;Fonds Propres Investissement;J;231380;J;45000;;DGC;111 869 000;Travaux de génie civil / DRCO;111 869 000;Construction vestiaire et clôture terrain / DRCO;;AOO;2;1;10/02/2022;23/05/2022;14/02/2022;22/07/2022;16/03/2022;01/09/2022;3;;;;;30/04/2022;;180;;27/10/2022;;;;PPM
14;1;Fonds Propres Investissement;A;234220;A;51000;;BILGO;2 700 000;Réseau électrique BT et HT financement SONABEL;2 700 000;Raccordement de la centrale solaire au réseau électrique;;DC / F;;1;10/02/2022;(null);01/03/2022;;04/03/2022;;1;;;;;03/04/2022;;30;;03/05/2022;;;;PPM
